date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-05-27,12,57,22,56,51,64,0,15,58,8,4,92,45,38,60,18,33,31
2026-05-31,94,76,55,13,41,8,91,89,86,73,59,2,68,61,10,59,65,31
2026-06-03,14,60,89,52,60,54,68,38,93,6,14,6,94,11,57,49,87,71
2026-06-07,36,1,88,97,85,77,50,34,85,99,97,84,77,24,53,52,74,88
2026-06-10,38,85,47,76,91,30,80,22,38,9,9,68,92,31,69,18,17,78
2026-06-14,80,60,26,29,54,40,89,91,45,46,64,78,33,84,51,41,90,40
2026-06-17,99,34,57,52,23,38,82,64,1,18,64,2,17,32,60,96,72,3
2026-06-21,30,22,26,27,43,14,55,50,29,99,61,81,20,71,40,57,93,93
2026-06-24,92,22,28,31,89,52,19,22,59,94,93,12,43,22,27,32,77,81
2026-06-28,64,97,23,92,39,49,52,22,62,42,57,11,21,25,32,27,4,51
2026-07-01,68,55,44,71,38,20,54,59,69,68,35,95,37,78,72,46,95,1
2026-07-05,63,80,74,35,11,86,24,66,2,50,92,96,88,24,11,53,64,84
2026-07-08,17,46,74,63,18,48,25,8,14,79,27,21,40,7,81,14,14,34
2026-07-12,36,67,45,59,66,4,88,79,27,90,54,32,49,56,73,42,47,10
