date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-05-25,54,22,67,99,16,13,11,48,39,20,88,77,14,18,52,97,18,49
2026-05-31,54,24,95,76,23,24,87,76,52,18,75,56,92,59,49,96,1,93
2026-06-01,28,93,17,46,63,95,93,76,59,64,63,2,95,75,82,58,97,1
2026-06-07,79,23,38,91,85,85,5,26,20,91,20,82,92,58,47,28,28,82
2026-06-08,84,55,67,68,5,8,56,29,15,45,78,18,78,38,54,4,0,27
2026-06-14,36,12,58,88,9,23,52,83,68,70,90,40,71,53,0,44,13,31
2026-06-15,61,66,93,43,54,70,17,92,57,73,98,84,94,31,42,17,74,36
2026-06-21,4,45,79,47,41,82,31,49,82,86,47,47,47,45,74,44,69,49
2026-06-22,6,1,57,45,8,7,93,58,83,52,62,41,55,0,83,19,28,43
2026-06-28,89,64,36,56,94,93,5,41,79,28,15,38,97,6,75,97,28,89
2026-06-29,9,27,84,79,13,13,55,38,82,68,55,16,0,80,46,65,77,23
2026-07-05,27,87,57,87,46,42,9,96,0,40,34,74,71,97,91,90,90,12
2026-07-06,94,3,39,49,46,82,30,27,65,31,55,82,28,12,88,10,59,73
2026-07-12,42,54,82,79,43,52,81,71,18,22,12,67,13,98,33,81,65,88
2026-07-13,89,63,21,3,63,92,93,47,83,56,39,70,86,30,33,57,86,79
