date,province,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2026-01-16,xsvl,670271,87619,30287,49772,57266,48505,30979,5873,69379,98320,81299,53161,3940,6645,3162,3187,350,21
2026-01-23,xsvl,42663,6493,56424,37749,3479,50064,61120,64669,4422,39717,64023,43304,1225,2243,8362,6622,425,59
2026-01-30,xsvl,141867,53974,11773,69667,60031,55260,57320,13638,97125,42698,84541,44400,2580,359,1577,4803,868,22
2026-02-06,xsvl,799293,28371,47045,69150,20304,95598,76122,69355,73428,73792,33414,72865,7819,2355,4559,7652,198,5
2026-02-13,xsvl,991084,42193,73112,358,24118,25220,15418,40005,31751,82164,13210,72482,6150,2122,1698,8430,506,41
2026-02-20,xsvl,390675,74835,96724,45323,7030,57060,27645,82011,33469,28762,1654,50949,9664,8481,5935,2001,756,59
2026-02-27,xsvl,274039,84184,78246,76187,86076,21554,44423,1034,1245,51475,6433,29205,6496,3880,3094,8018,536,90
2026-03-06,xsvl,462757,27863,10330,10260,32590,96239,65781,70605,5747,25670,77770,97136,5198,6778,3671,2952,419,60
2026-03-13,xsvl,484908,79595,3543,4100,29891,72940,96265,16299,95038,88412,68592,73503,9874,3496,2732,5701,410,48
2026-03-20,xsvl,702348,87769,33066,65523,75401,99616,17188,68955,11779,32465,53215,58531,526,1454,1053,8571,27,46
2026-03-27,xsvl,68687,27777,88745,24053,42937,83199,93454,95845,33636,10787,21131,78650,7395,4300,7403,4928,872,7
2026-04-03,xsvl,537949,63926,48391,38712,46099,84303,3395,7274,22649,86187,17730,51231,7864,7292,9883,9201,303,69
2026-04-10,xsvl,760016,38865,58034,51395,20138,30403,77546,98049,43262,35826,60658,2728,900,2160,6750,6856,456,66
2026-04-17,xsvl,865023,88617,73106,1538,95878,89040,85015,13922,22402,68305,74606,47690,5108,1500,1363,876,796,31
2026-04-24,xsvl,800023,94606,62889,33568,55148,78986,17174,66883,13349,36251,99565,48897,1898,3773,4468,1978,532,60
2026-05-01,xsvl,405967,33641,76121,32553,33534,28659,95047,34659,18091,34163,39642,49280,7884,6595,5413,1124,798,23
2026-05-08,xsvl,58821,69099,82722,10875,60374,38926,59015,4759,3747,28383,3391,35311,5833,7423,7689,3744,610,68
2026-05-15,xsvl,216215,75759,48400,85216,24672,81890,74589,19516,74905,79365,49958,32396,6558,8696,9071,9899,792,51
2026-05-22,xsvl,576339,49411,46677,60654,13695,84090,20388,83683,829,53829,9318,38576,2960,4654,3823,8109,829,85
2026-05-29,xsvl,132549,64042,48404,55928,88453,68782,71184,18974,80273,68353,87109,3224,6684,9216,7033,8456,351,54
2026-06-05,xsvl,591978,73464,93850,26659,46310,26194,55029,99548,5196,16311,58269,96560,6809,4348,2195,9893,47,64
2026-06-12,xsvl,805696,73137,26043,26473,31469,8086,80938,84480,28936,24407,42009,81130,8986,3118,9966,1361,739,90
2026-06-19,xsvl,446202,61443,91517,99661,54732,17117,40210,89498,63392,20660,27445,92226,6173,8073,5736,831,347,46
2026-06-26,xsvl,442348,83033,62867,60035,89232,6313,73026,43412,85574,54700,93359,15958,2052,9942,5591,4090,27,19
2026-07-03,xsvl,911134,63799,48636,11842,69013,70577,77718,80978,41363,62320,33733,8396,9796,630,8755,978,458,57
2026-07-10,xsvl,73565,91553,8409,5155,43291,28647,7105,8241,32095,97330,54446,92219,8141,1990,3659,5057,95,95
2026-07-17,xsvl,899058,18214,89620,60451,52254,98024,65171,48803,78929,49571,23305,71811,5767,7881,607,8701,789,33
